Timestamp,PersonBox,MaskLabel
2025-08-12T17:29:38.929526,"204,128,1682,1070",No Mask
2025-08-12T17:29:39.057334,"209,128,1692,1070",No Mask
2025-08-12T17:29:39.195657,"209,129,1692,1070",No Mask
2025-08-12T17:29:39.325542,"206,131,1677,1071",No Mask
2025-08-12T17:29:39.458833,"199,125,1696,1070",No Mask
2025-08-12T17:29:39.591457,"256,107,1717,1069",No Mask
2025-08-12T17:29:39.725297,"97,87,1725,1069",No Mask
2025-08-12T17:29:39.859220,"287,76,1711,1069",No Mask
2025-08-12T17:29:39.993133,"270,71,1704,1069",No Mask
2025-08-12T17:29:40.128776,"251,66,1715,1068",No Mask
2025-08-12T17:29:40.256475,"272,66,1729,1070",No Mask
2025-08-12T17:29:40.392854,"262,71,1712,1072",No Mask
2025-08-12T17:29:40.524604,"299,74,1753,1073",No Mask
2025-08-12T17:29:40.663550,"319,77,1718,1072",No Mask
2025-08-12T17:29:40.791217,"423,83,1731,1072",No Mask
2025-08-12T17:29:40.929898,"366,87,1716,1071",No Mask
2025-08-12T17:29:41.057245,"421,74,1739,1073",No Mask
2025-08-12T17:29:41.194939,"338,69,1738,1075",No Mask
2025-08-12T17:29:41.328908,"314,62,1710,1072",No Mask
2025-08-12T17:29:41.458798,"294,57,1727,1071",No Mask
2025-08-12T17:29:41.593875,"278,54,1728,1071",No Mask
2025-08-12T17:29:41.727751,"269,50,1728,1070",No Mask
2025-08-12T17:29:41.860430,"272,54,1733,1070",No Mask
2025-08-12T17:29:41.993465,"268,54,1731,1070",No Mask
2025-08-12T17:29:42.128505,"264,60,1736,1070",No Mask
2025-08-12T17:29:42.259718,"262,61,1722,1071",No Mask
2025-08-12T17:29:42.394001,"280,63,1713,1073",No Mask
2025-08-12T17:29:42.526225,"277,73,1721,1073",No Mask
2025-08-12T17:29:42.658936,"271,76,1719,1073",No Mask
2025-08-12T17:29:42.806329,"320,84,1714,1073",No Mask
2025-08-12T17:29:42.920790,"248,111,1720,1071",No Mask
2025-08-12T17:29:43.063674,"242,137,1721,1071",No Mask
2025-08-12T17:29:43.203089,"240,137,1730,1072",No Mask
2025-08-12T17:29:43.348755,"237,136,1733,1071",No Mask
2025-08-12T17:29:43.508986,"173,123,1746,1070",No Mask
2025-08-12T17:29:43.622380,"116,132,1757,1067",No Mask
2025-08-12T17:29:43.763866,"67,97,1808,1068",No Mask
2025-08-12T17:29:43.889416,"55,83,1814,1067",No Mask
